area_nombre,tema_nombre,pregunta,sustento
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Según el artículo, ¿qué es probable que ocurra si la tendencia actual de expansión agrícola y pérdida de bosques en los Andes bolivianos continúa sin cambios durante la próxima década?","Porque el artículo muestra que entre 1990 y 2020 la temperatura media aumentó 0,6 °C y la pérdida forestal se aceleró a 45 000 ha/año entre 2005 y 2020. Estos datos indican una tendencia clara de calentamiento asociado 12 a la deforestación. Además, se explica que la reducción del flujo latente (LE) eleva el calor sensible (H), lo que eleva la temperatura del aire y favorece sequías más intensas y mayor frecuencia de incendios, generando mayores emisiones de CO2 que retroalimentan el proceso. Por lo tanto, si la pérdida de bosques y la expansión agrícola continúan, se espera otro aumento de temperatura (al menos 0,3 °C en la próxima década) y más sequías e incendios."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"De acuerdo con el texto, ¿cuál de las siguientes afirmaciones compara de manera más precisa los efectos de la disminución del flujo latente (LE) y del aumento del albedo sobre el balance energético y el calentamiento local en los Andes bolivianos?","La pérdida de bosque reduce el flujo de energía latente (LE), lo que disminuye la transpiración y eleva el calor sensible (H), incrementando la temperatura local. Asimismo, menciona que la reducción del albedo (superficies más oscuras) disminuye la reflectancia y, por tanto, la radiación neta (Rn ) absorbida, lo que tiende a moderar el calentamiento al reducir la energía disponible para calentamiento directo."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"De acuerdo con el texto, ¿qué diferencia más significativa se puede inferir entre la forma en que la deforestación afectó el balance energético durante la colonización española y la que se observa en la expansión agrícola del siglo XXI?","La colonización española, la tala de bosques para carreteras y la introducción de ganado provocó sobrepastoreo y erosión del suelo, lo que afecta la retención hídrica. En contraste, en artículo también explica que la expansión agrícola del siglo XXI reduce el flujo latente (LE) al perderse la transpiración vegetal, lo que eleva el calor sensible (H) y, consecuentemente, la temperatura del aire."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,Del análisis presentado se desprende que la iniciativa Biodiversidad Andina (2020‑2024) tiene como objetivo principal...,"El programa Biodiversidad Andina (2020‑2024) ha sembrado 3,5 millones de árboles nativos en áreas degradadas de los Yungas y que revive prácticas agroforestales tradicionales, con la finalidad de restaurar bosques y aportar resiliencia frente al cambio climático."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Basándose en la información proporcionada, ¿qué efecto indirecto es probable que haya tenido la apertura de la carretera Cochabamba‑Santa Cruz (finalizada en 1978) sobre la capacidad de los pueblos indígenas de los Yungas para mantener sus sistemas agroforestales tradicionales?","La carretera Cochabamba‑Santa Cruz, finalizada en 1978, “abrió vastas áreas del bosque subtropical a la colonización de campesinos y empresas agroindustriales”. Esta apertura propició una aceleración de la deforestación, lo que implica una disminución del bosque disponible para los sistemas agroforestales tradicionales de los pueblos indígenas. Por otra parte, “el gobierno boliviano, junto a organizaciones no gubernamentales y comunidades indígenas, ha promovido iniciativas de restauración forestal y pagos por servicios ambientales”, lo que sugiere que los pueblos tuvieron que recurrir a estas políticas como respuesta a la pérdida de sus áreas de manejo tradicional."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"A partir de lo expuesto en el artículo, ¿qué consecuencia a largo plazo se puede deducir de la disminución del flujo de calor latente (LE) ocasionada por la deforestación en los Andes bolivianos?","La deforestación reduce el flujo de calor latente (LE), lo que eleva el calor sensible (H) y, por ende, la temperatura de la superficie (“la disminución de LE al perderse los bosques eleva H y, por ende, la temperatura del aire”). Además, en la sección de retroalimentaciones se menciona que el aumento de emisiones de CO2 proviene de la quema forestal y que estas emisiones intensifican el calentamiento global, potenciando la frecuencia de incendios. De esta forma, se puede inferir que la disminución de LE no solo calienta el aire, sino que crea condiciones más propicias para incendios más frecuentes e intensos, aunque el texto no lo declara explícitamente."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"El artículo señala que, a partir de los ejemplos históricos y los datos climáticos presentados, ¿qué principio general se puede extraer sobre la relación entre la deforestación y el clima en los Andes bolivianos?","La pérdida de bosque reduce el flujo de calor latente (LE) asociado a la transpiración, lo que incrementa el calor sensible (H) y, por ende, la temperatura del aire. Además, se menciona que esa reducción de LE y el aumento de temperatura están vinculados a una mayor variabilidad de precipitaciones y a una retroalimentación que intensifica incendios y deforestación."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,El artículo señala que la iniciativa Biodiversidad Andina (2020‑2024) fue implementada principalmente con la finalidad de:,"El programa Biodiversidad Andina ha sembrado 3,5 millones de árboles nativos en áreas degradadas y que involucra a campesinos que reviven prácticas agroforestales tradicionales, con el objetivo de restaurar bosques y, por ende, mejorar la retención hídrica y la captura de CO2 . La iniciativa busca “restauración forestal” y “pago por servicios ambientales”, lo que implica reforzar los servicios ecosistémicos climáticos."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Según el artículo, ¿cuál es la finalidad principal de combinar los conocimientos agroforestales tradicionales con tecnologías de monitoreo satelital en los programas de restauración forestal actuales?","La integración de saberes ancestrales con monitoreo satelital permite “una gestión adaptativa: los datos de sensores térmicos identifican zonas con mayor estrés hídrico, mientras que la ciencia del suelo orienta la selección de especies nativas con alta tolerancia a la sequía”. Este propósito se centra en mejorar la resiliencia de la restauración frente a condiciones climáticas adversas."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,El artículo señala que la pérdida de bosque en los Andes bolivianos reduce la retención de agua y aumenta la variabilidad de precipitaciones; ¿qué consecuencia social se puede deducir de este proceso?,"La deforestación disminuye la capacidad del suelo para retener agua y aumenta la variabilidad de precipitaciones, lo que intensifica sequías que afectan la disponibilidad de agua para la agricultura y la generación hidroeléctrica. Estas condiciones generan mayor vulnerabilidad de los campesinos, quienes dependen del agua para cultivos y ganadería, y pueden verse forzados a migrar a zonas urbanas en busca de medios de vida más seguros."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Según el artículo, ¿qué principio general se puede extraer de las soluciones propuestas para mitigar la deforestación en los Andes bolivianos?",La combinación de conocimientos tradicionales (saberes ancestrales) con tecnologías de monitoreo satelital permite una gestión adaptativa de la restauración forestal. Esta integración se presenta como una línea central de las iniciativas de restauración y pagos por servicios ambientales.
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"A partir de lo expuesto en el artículo, ¿cuál de las siguientes consecuencias sociales relacionadas con la deforestación y el cambio climático en los Andes bolivianos no es contemplada en el análisis del autor?","El artículo describe detalladamente los impactos climáticos y menciona iniciativas de restauración y participación comunitaria, nunca aborda explícitamente el posible desplazamiento forzado de poblaciones indígenas originarias provocado por la expansión agrícola y la construcción de carreteras."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Considerando lo mencionado en el texto, ¿cuál de las siguientes afirmaciones describe mejor una implicación ética de promover la expansión de la agricultura comercial en los Andes bolivianos sin integrar los saberes agroforestales tradicionales?","El artículo subraya que la integración de conocimientos ancestrales (p.ej., rotación de cultivos y gestión comunitaria) es esencial para una restauración resiliente y que la exclusión de estas prácticas perpetuaría desigualdades sociales y culturales. Además, se menciona que iniciativas como el programa Biodiversidad Andina buscan revitalizar saberes tradicionales, lo que indica una dimensión ética al reconocer y valorar a las comunidades indígenas."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"A partir de lo expuesto en el artículo, ¿cuáles son las principales implicaciones ambientales de la retroalimentación entre la deforestación y el cambio climático descrita?","El artículo señala que la pérdida de bosque disminuye el flujo latente de energía (LE), lo que eleva la temperatura del aire, y que la quema de residuos forestales emite alrededor de 12 MtCO2 al año. Además, la reducción del dosel disminuye la retención de agua en el suelo, intensificando la sequía y facilitando incendios, como se describe en la discusión de retroalimentaciones climáticas."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Considerando lo mencionado en el texto, ¿cómo difiere la propuesta de gestión futura de una estrategia que se basara exclusivamente en tecnologías de monitoreo satelital sin integrar saberes tradicionales?","El programa Biodiversidad Andina incorpora saberes tradicionales (rotación de cultivos, gestión comunitaria) y que, al mismo tiempo, se utilizan tecnologías de monitoreo satelital y sensores térmicos para identificar zonas con mayor estrés hídrico, describiendo un enfoque híbrido. Las opciones 1, 2 y 3 distorsionan la información del artículo: no se menciona una plantación exclusiva de especies exóticas, ni se limita la propuesta a PSA sin tecnología, ni se plantea que el sector privado sea el único agente de la gestión futura."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Del análisis presentado se desprende que, para una evaluación completa del balance energético regional, ¿qué factor relevante no ha sido considerado por el autor?","La pérdida de cobertura forestal y su efecto en el balance energético (párrafo 3, ecuación Q = Rn - G - H - LE) y menciona la expansión agrícola y minera como causas principales, pero no aborda la posible expansión urbana ni otras conversiones de suelo que tampoco están cubiertas por bosques. Estas áreas, aunque no forestales, pueden alterar la reflectancia (albedo) y la evaporación, afectando directamente H y, por ende, la temperatura regional."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,Del análisis presentado se desprende que el autor omite considerar cuál de los siguientes factores al evaluar los impactos climáticos de la deforestación en los Andes bolivianos?,"El artículo describe detalladamente procesos biogeoquímicos y energéticos (albedo, emisiones de CO2 , flujo de calor latente) y utiliza datos satelitales para cuantificar la pérdida forestal, no aborda el componente socio‑económico que impulsa la expansión agrícola, como las políticas de mercado y la demanda internacional de soja. Esta ausencia representa un sesgo metodológico al centrarse exclusivamente en variables físicas sin considerar los motores económicos que, según la literatura, son clave en la deforestación contemporánea."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"De acuerdo con el texto, ¿qué tipo de evidencia adicional sería necesaria para reforzar el argumento de que la expansión agropecuaria durante la colonización española provocó una erosión significativa del suelo?","Se describe cómo la introducción del ganado durante la colonización española generó sobrepastoreo y erosionó el suelo, pero el texto no aporta datos cuantitativos de esa erosión. Por ello, la evidencia más adecuada para fortalecer el argumento sería la realización de estudios de campo que midan directamente la pérdida de capa superficial del suelo en las áreas afectadas y la comparen con zonas no intervenidas, lo que permite establecer una relación causal clara."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"La lectura del texto permite identificar que el argumento del autor, según el cual la disminución del flujo de calor latente (LE) por la pérdida de bosque eleva directamente la temperatura del aire al incrementar el calor sensible (H), es:","El texto presenta explícitamente la ecuación del balance energético Q = Rn - G - H - LE y afirma que la disminución de LE al perderse los bosques eleva H y, en consecuencia, la temperatura del aire (Gómez et al., 2020). Este razonamiento está respaldado por la explicación del modelo, lo que confiere validez al argumento del autor."
Comprensión Lectora,Deforestación y Cambio Climático en los Andes Bolivianos:Una Perspectiva Histórica y Evolutiva,"Considerando lo mencionado en el texto, ¿qué tan válido es el argumento del autor sobre la efectividad de los pagos por servicios ambientales (PSA) como solución para mitigar la deforestación en los Andes bolivianos?","El programa Biodiversidad Andina (2020‑2024) ha sembrado 3,5 millones de árboles nativos y junto a los pagos por servicios ambientales, se busca integrar saberes tradicionales para restaurar bosques. Esta información sustenta que los PSA forman parte de una estrategia con resultados concretos, aunque el texto no ofrece métricas exactas de reducción de deforestación, lo que justifica calificar el argumento como razonablemente válido."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"Según el artículo, ¿cómo se define el concepto de brecha digital?",El artículo establece explícitamente: “La brecha digital se define como la diferencia entre quienes pueden acceder y utilizar eficazmente las TIC y quienes no lo pueden”.
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"A partir de lo expuesto en el artículo, establecer la secuencia correcta de los siguientes indicadores de conectividad y acceso en Bolivia en 2023: (i) porcentaje de hogares urbanos con internet, (ii) porcentaje de hogares rurales con internet, (iii) porcentaje de estudiantes de primaria con acceso regular a banda ancha en el hogar, (iv) porcentaje de estudiantes de secundaria con acceso regular a banda ancha en el hogar.","La tasa de acceso a internet en hogares urbanos es del 71 % (INE, 2023); en zonas rurales es del 33 % (INE, 2023); el 42 % de los estudiantes de educación primaria tenía acceso regular a banda ancha en el hogar a finales de 2023; y el 58 % de los estudiantes de secundaria contaba con ese acceso."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"La lectura del texto permite identificar que, según el artículo, los pilares que deben integrar las políticas públicas para lograr una educación digital inclusiva en Bolivia son:","En el artículo se afirma que las políticas públicas deben adoptar un enfoque sistémico que considere simultáneamente “la inversión en infraestructura, la formación continua de los docentes y la creación de entornos de aprendizaje colaborativos”, y se menciona además que la participación comunitaria es un pilar esencial."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"Según el artículo, ¿qué universidad implementó el Programa de Formación Docente en Tecnologías Educativas (FOTED)?",El artículo indica explícitamente que “la Universidad Mayor de San Andrés (UMSA) emprendió el Programa de Formación Docente en Tecnologías Educativas (FOTED)” y menciona los resultados alcanzados por esa iniciativa.
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"Considerando lo mencionado en el texto, ¿en qué porcentaje se redujo el costo promedio por kilómetro de fibra óptica respecto a estimaciones previas, según el Programa Nacional de Conectividad Rural?","En el apartado de ‘Expansión de infraestructura’ se indica que la alianza pública privada permitió “reducir el costo promedio por kilómetro en un 15 % respecto a estimaciones previas” (Ministerio de Obras Públicas, 2023). Las demás opciones presentan porcentajes que no aparecen en el artículo; 10 % y 20 % son valores cercanos, pero no mencionados, y 25 % es una cifra mayor que la indicada, por lo que ninguna de ellas corresponde al dato explícito solicitado."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"Considerando lo mencionado en el texto, ¿en qué porcentaje se redujo el costo promedio por kilómetro de fibra óptica respecto a estimaciones previas, según el Programa Nacional de Conectividad Rural?","En el apartado de ‘Expansión de infraestructura’ se indica que la alianza pública privada permitió “reducir el costo promedio por kilómetro en un 15 % respecto a estimaciones previas” (Ministerio de Obras Públicas, 2023). Las demás opciones presentan porcentajes que no aparecen en el artículo; 10 % y 20 % son valores cercanos, pero no mencionados, y 25 % es una cifra mayor que la indicada, por lo que ninguna de ellas corresponde al dato explícito solicitado."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,Del análisis presentado se desprende que la barrera principal para lograr una educación digital equitativa en Bolivia es…,"El artículo señala tres factores estructurales que perpetúan la brecha digital: (1) la cobertura de fibra óptica alcanza solo el 24 % de los municipios, indicando una infraestructura insuficiente (sección 2); (2) el 38 % de las escuelas rurales carecen de al menos un computador por cada veinte estudiantes, lo que muestra escasez de dispositivos; y (3) solo el 27 % de los docentes de secundaria había recibido capacitación formal en pedagogía digital antes de la pandemia (sección 2). El texto enfatiza que la combinación de estos problemas, no uno solo, es la razón de la limitación de la educación digital."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"La lectura del texto permite identificar que, para cerrar la brecha de aprendizaje asociada a la falta de conectividad, es necesario:","El artículo muestra que la brecha de aprendizaje se debe a una combinación de factores estructurales (infraestructura insuficiente, falta de dispositivos y escasa preparación docente). Los resultados 20 presentados indican que la expansión de fibra óptica y radio enlace (infraestructura), los “bibliotecas digitales” con tablets compartidas (dispositivos) y el Programa FOTED de capacitación docente (confianza y habilidades) han producido mejoras simultáneas en acceso, uso y calidad de la enseñanza. Los autores concluyen que “políticas integradas que consideren la infraestructura, la formación docente y la participación comunitaria” son esenciales para una educación digital inclusiva, lo que confirma que solo la combinación de esas intervenciones puede cerrar efectivamente la brecha."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"La lectura del texto permite identificar que, para reducir la brecha de conectividad digital en Bolivia, la estrategia más eficaz es:","El artículo muestra, en varios apartados, que ni la sola expansión de fibra óptica, ni únicamente los programas de dispositivos compartidos, ni solo la capacitación docente logran cerrar la brecha de forma integral. Cada una de esas iniciativas se menciona como parte de un conjunto de soluciones emergentes que, al combinarse, atienden la falta de infraestructura, la escasez de equipos y la preparación docente, además de reforzar la participación comunitaria."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"Basándose en la información proporcionada, ¿cuál de las siguientes afirmaciones refleja con mayor precisión la diferencia económica entre la expansión de la fibra óptica y los programas de dispositivos compartidos en Bolivia?","El texto indica que la expansión de la fibra óptica redujo el costo promedio por kilómetro en un 15 % (Ministerio de Obras Públicas, 2023) y que los programas de dispositivos compartidos, como la iniciativa de ConectaTi en Tarija, disminuyeron la brecha de dispositivos en un 40 % (ConectaTi, 2023)."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"Del análisis presentado se desprende que, respecto a los actores involucrados en la reducción de la brecha digital en Bolivia, la estrategia más eficaz combina…","El artículo señala que cerrar la brecha digital requiere una combinación de acciones: la expansión de la infraestructura de fibra óptica (Programa Nacional de Conectividad Rural), los programas de dispositivos compartidos como las bibliotecas digitales (ConectaTi) y la participación comunitaria (comités de padres en Potosí). Además, la capacitación docente (Programa FOTED) se menciona como otro pilar esencial. Estas tres dimensiones aparecen en distintos párrafos y su interacción es resaltada como clave para una educación digital inclusiva."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"Según la lectura, ¿cuál de los siguientes efectos en la educación rural se produce por la insuficiente cobertura de fibra óptica en municipios bolivianos?","El texto no menciona explícitamente que la falta de fibra óptica cause deserción escolar, sí indica que la escasa conectividad limita la capacidad de los docentes para usar plataformas de aprendizaje y obliga a los estudiantes a depender de materiales pasivos, lo que “provoca deserción y rezago escolar”. Además, se señala que la cobertura de fibra óptica solo alcanza el 24 % de los municipios, concentrándose en zonas urbanas, lo que implica que la mayoría de áreas rurales carecen de esta infraestructura, dificultando la asistencia a clases virtuales y, por ende, incrementando la probabilidad de abandono escolar. Las demás opciones son incorrectas: la mayor participación de los padres se asocia a iniciativas como “Escuelas Conectadas” en Potosí, no a la falta de fibra; la reducción de la brecha de dispositivos se relaciona con programas de dispositivos compartidos, no con la cobertura de fibra; y la mejora en puntajes se vincula a estudiantes con acceso regular a internet, no a la carencia
de fibra, por lo que no puede atribuirse a la insuficiente cobertura."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"Según el artículo, considerando la expansión de la red de fibra óptica en comunidades campesinas y la implementación de radio enlace en zonas de difícil acceso, ¿qué es probable que ocurra en el desempeño académico de los estudiantes rurales dentro de los próximos tres años?","El artículo indica, que los estudiantes con acceso regular a internet presentan un aumento del 12 % en sus puntajes de matemática y lectura. Además, se describe la expansión de fibra óptica y la implementación de radio enlace como medidas destinadas a mejorar la conectividad en áreas rurales. Al combinar ambos datos, es razonable inferir que, al ampliar la cobertura de internet, los estudiantes rurales experimentarán un incremento similar, alrededor del 10 %, en sus resultados académicos dentro de un horizonte de tres años."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"A partir del artículo, al comparar la expansión de fibra óptica y la tecnología de radio enlace de corto alcance, ¿cuál de las siguientes afirmaciones refleja mejor la relación entre la topografía de la zona y la elección de la solución tecnológica?","El artículo indica que la cobertura de fibra óptica está concentrada principalmente en Santa Cruz y La Paz, mientras que la tecnología de radio enlace de corto alcance se ha implementado en zonas de difícil acceso, destacando su efectividad en la región del Beni."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"Del análisis presentado se desprende que, para reducir la brecha de conectividad en la educación boliviana, la estrategia más eficaz consiste en…","El artículo destaca que la expansión de infraestructura (p. “instalar 1 200 km de fibra óptica”), los programas de dispositivos compartidos (p. “bibliotecas digitales” y el caso de Tarija) y la capacitación docente continua (p. “Programa de Formación Docente en Tecnologías Educativas”) se presentan como componentes complementarios para cerrar la brecha digital. Además, en la conclusión se subraya la necesidad de políticas integradas que consideren infraestructura, formación docente y participación comunitaria."
Comprensión Lectora,Educación Digital y la Brecha de Conectividad en Bolivia: Desafíos Actuales y Soluciones Emergentes,"De acuerdo con el texto, ¿qué efecto probable tendría la ampliación de la cobertura de fibra óptica en municipios rurales sobre el rendimiento académico de los estudiantes?","El texto indica que los estudiantes con acceso regular a internet obtienen un aumento promedio del 12 % en sus puntajes de matemática y lectura. Al ampliar la cobertura de fibra óptica en municipios rurales, se mejora la conectividad en esas zonas, lo que implícitamente permite que más estudiantes dispongan de acceso regular a internet; por lo tanto, es razonable inferir que sus rendimientos académicos experimentarían un incremento similar al mencionado."
